layer,f1,rr,orr,rr_2,orr_2,score,score_2
0,0.23333333333333334,0.28,0.2,0.01,0.0,0.12,0.01
1,0.2541176470588235,0.24,0.27,0.02,0.0,0.023999999999999966,0.02
2,0.24640000000000004,0.28,0.22,0.02,0.0,0.10400000000000001,0.02
3,0.2248888888888889,0.23,0.22,0.01,0.0,0.05399999999999999,0.01
4,0.19949999999999998,0.19,0.21,0.0,0.0,0.021999999999999992,0.0
5,0.2282608695652174,0.21,0.25,0.01,0.0,0.009999999999999981,0.01
6,0.2,0.3,0.15,0.0,0.0,0.18,0.0
7,0.1887179487179487,0.16,0.23,0.0,0.0,-0.02400000000000002,0.0
8,0.2496,0.26,0.24,0.0,0.02,0.068,-0.016
9,0.21954545454545454,0.21,0.23,0.01,0.01,0.025999999999999968,0.002
10,0.23958333333333334,0.25,0.23,0.0,0.0,0.06599999999999998,0.0
11,0.20809523809523808,0.23,0.19,0.0,0.01,0.07799999999999999,-0.008
12,0.21954545454545454,0.21,0.23,0.0,0.0,0.025999999999999968,0.0
13,0.23489361702127662,0.24,0.23,0.02,0.01,0.055999999999999966,0.012
14,0.29966666666666664,0.29,0.31,0.01,0.0,0.04199999999999998,0.01
15,0.23489361702127662,0.23,0.24,0.02,0.0,0.038000000000000006,0.02
16,0.22608695652173913,0.26,0.2,0.01,0.0,0.09999999999999998,0.01
17,0.22956521739130437,0.24,0.22,0.01,0.0,0.06399999999999997,0.01
18,0.25846153846153846,0.28,0.24,0.01,0.0,0.08800000000000002,0.01
19,0.1894736842105263,0.2,0.18,0.0,0.0,0.05600000000000002,0.0
20,0.24000000000000002,0.28,0.21,0.01,0.02,0.11200000000000002,-0.006
21,0.23489361702127662,0.24,0.23,0.0,0.02,0.055999999999999966,-0.016
22,0.21488372093023256,0.21,0.22,0.01,0.0,0.033999999999999975,0.01
23,0.21395348837209302,0.23,0.2,0.01,0.0,0.06999999999999998,0.01
24,0.23833333333333334,0.22,0.26,0.0,0.0,0.011999999999999983,0.0
25,0.24,0.3,0.2,0.0,0.01,0.13999999999999996,-0.008
26,0.20999999999999996,0.21,0.21,0.0,0.01,0.04199999999999998,-0.008
27,0.23625000000000002,0.27,0.21,0.01,0.01,0.10200000000000001,0.002
28,0.1948717948717949,0.2,0.19,0.0,0.0,0.04799999999999999,0.0
29,0.2048780487804878,0.21,0.2,0.0,0.0,0.04999999999999996,0.0
